59	32
59	31
59	31
59	30
59	31
59	30
59	33
59	30
59	31
59	30
60	31
60	31
60	33
60	30
60	30
60	31
60	30
60	32
60	31
60	31
61	30
61	30
61	32
61	31
61	30
61	30
61	31
61	30
61	33
61	30
62	30
62	30
62	29
62	32
62	30
62	30
62	30
62	30
62	32
62	30
63	30
63	29
63	30
63	32
63	29
63	29
63	29
63	30
63	32
63	30
64	29
64	29
64	31
64	29
64	30
64	29
64	29
64	31
64	29
64	30
65	28
65	30
65	29
65	28
65	28
65	30
65	28
65	28
65	28
65	30
66	28
66	26
66	27
66	28
66	27
66	27
66	27
66	29
66	26
66	27
67	27
67	25
67	25
67	27
67	25
67	25
67	27
67	24
67	25
67	26
68	23
68	21
68	24
68	22
68	24
68	22
68	22
68	25
68	22
68	24
69	19
69	19
69	21
69	19
69	21
69	19
69	21
69	18
69	22
69	18
70	18
70	14
70	17
70	16
70	15
70	17
70	15
70	17
70	14
70	18
71	13
71	11
71	13
71	13
71	11
71	13
71	14
71	12
71	13
71	13
72	9
72	8
72	9
72	9
72	8
72	9
72	9
72	8
72	9
72	9
73	4
73	4
73	4
73	5
73	4
73	4
73	5
73	4
73	4
73	4
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
75	2
75	3
75	2
75	3
75	2
75	3
75	2
75	3
75	2
75	3
76	7
76	7
76	7
76	7
76	7
76	7
76	7
76	7
76	8
76	7
77	11
77	10
77	10
77	12
77	11
77	9
77	11
77	10
77	12
77	11
78	15
78	16
78	16
78	16
78	13
78	16
78	15
78	14
78	16
78	13
79	19
79	17
79	19
79	16
79	19
79	17
79	19
79	18
79	19
79	19
80	22
80	21
80	23
80	21
80	23
80	21
80	21
80	23
80	20
80	24
81	24
81	24
81	27
81	24
81	24
81	26
81	24
81	25
81	26
81	24
82	27
82	28
82	27
82	26
82	28
82	26
82	26
82	26
82	29
82	26
83	28
83	28
83	30
83	27
83	27
83	27
83	31
83	27
83	27
83	27
84	32
84	29
84	29
84	29
84	31
84	28
84	29
84	28
84	29
84	30
85	29
85	30
85	29
85	31
85	29
85	29
85	29
85	30
85	31
85	30
86	30
86	30
86	30
86	32
86	30
86	30
86	30
86	30
86	32
86	30
87	30
87	31
87	31
87	32
87	31
87	30
87	30
87	30
87	32
87	31
88	30
88	30
88	30
88	31
88	33
88	30
88	31
88	30
88	31
88	33
89	30
89	31
89	30
89	31
89	31
89	33
89	30
89	31
89	30
89	31
90	31
90	33
90	31
90	30
90	31
90	31
90	33
90	31
90	30
90	31
91	31
91	30
91	34
91	30
91	31
91	31
91	30
91	32
91	30
91	31
92	31
92	30
92	31
